Make,# of Models,Avg Engine HP,Avg MPG,Avg MSRP
Acura,18,244.80,24.03,$34888
Alfa Romeo,1,237.00,29.00,$61600
Aston Martin,12,484.32,15.71,$197910
Audi,34,277.70,24.20,$53452
BMW,39,326.91,24.99,$61547
Bentley,18,533.85,15.23,$247169
Bugatti,1,1001.00,11.00,$1757224
Buick,20,219.24,22.83,$28207
Cadillac,30,332.31,21.30,$56231
Chevrolet,63,246.97,22.42,$28350
Chrysler,19,229.14,22.06,$26723
Dodge,33,244.42,19.21,$22390
FIAT,5,143.56,33.99,$22670
Ferrari,14,511.96,13.14,$238219
Ford,51,243.10,20.98,$27399
GMC,30,259.84,18.61,$30493
Genesis,1,347.33,20.83,$46617
HUMMER,2,261.24,15.41,$36464
Honda,21,195.75,29.01,$26674
Hyundai,22,201.92,26.37,$24597
Infiniti,38,310.07,21.30,$42394
Kia,16,206.83,27.25,$25310
Lamborghini,6,614.08,14.77,$331567
Land Rover,11,322.10,19.18,$67823
Lexus,46,277.42,23.09,$47549
Lincoln,16,284.91,21.19,$42840
Lotus,5,275.97,22.66,$69188
Maserati,8,420.79,16.81,$114208
Maybach,3,590.50,13.00,$546222
Mazda,31,171.99,24.55,$20039
McLaren,4,610.40,18.90,$239805
Mercedes-Benz,40,350.18,21.51,$71476
Mitsubishi,22,173.43,24.73,$21241
Nissan,32,239.92,24.84,$28583
Oldsmobile,18,177.47,21.92,$11543
Plymouth,10,131.56,24.38,$3123
Pontiac,20,190.30,22.88,$19322
Porsche,12,392.79,21.42,$101622
Rolls-Royce,10,487.55,15.48,$351131
Saab,8,220.52,22.06,$27414
Scion,8,154.43,28.81,$19933
Spyker,1,400.00,15.50,$213323
Subaru,16,197.31,25.24,$24828
Suzuki,16,160.29,22.97,$17907
Tesla,1,,96.53,$85256
Toyota,39,236.15,24.00,$29030
Volkswagen,31,189.76,27.85,$28102
Volvo,26,230.97,23.39,$28541
